"How many hours of programming are you doing per week on average",,,"What programming languages do you use?",,,"What Version Control System do you primarily use?","If your primary work involves programming, then the company that you work at","What IDE or editor do you primarily use for programming?","If you use more than one IDE, what other IDE/editors do you commonly use?",,,"Name other IDE/editors that you have used before",,,"What features do you value the most in your primary editor?","What kind of programming language integration do you value the most in your primary editor?","What features would you like to have in your editor that it doesn't have?","How customized is your editor?","What are the primary reasons that you use editors/IDEs other than your primary?","How do you primarily use your Version Control System?","What are the reasons you are not switching to a different IDE/editor?","If your primary editor/IDE suddenly disappears, what editor/IDE would you use instead?","Have you ever used commercial IDE or editor?","Would you consider using a commercial IDE or editor?","What kind of programming language integration do you value the most in your primary editor?","What kind of programming language integrations would you like to have or have improved in your editor?","If you would be willing to buy a commercial IDE or editor yourself, how much would you be willing to pay for it?"
35,3,3,"CoffeeScript","Python","JavaScript","Git","Is primarily doing programming ","Sublime Text","vim","Eclipse",,"Visual Studio","EditPlus",,"Powerful editing functionality, There are lots of plugins available, It doesn't need to be configured much to be usable","Syntax highlighting, Code formatting, Interactive console/REPL","It has advanced language intergration (eg auto-completion, refactoring, building), Powerful editing functionality, It doesn't need to be configured much to be usable","There is some configuration and couple of third-party plugins","It supports some of the languages I use better than my primary editor, It can be used from terminal","From some other application","My workflow is too integrated into my current editor, Too much effort learning new editors","vim","Yes, my employer bought it","Yes, I would buy it myself",,"Syntax highlighting, Auto-completion, Refactoring",
30,0,2,"Common Lisp","Ruby","JavaScript","git","Sometimes supports other activities with programming or IT","Emacs",,,,"Visual Studio","AllegroCL",,"It supports many programming languages, Powerful editing functionality, It is very configurable","Syntax highlighting, Debugging, Interactive console/REPL","It has advanced language intergration (eg auto-completion, refactoring, building)","It is extensively configured and I have lots of third-party plugins",,"Directly through terminal","I don't feel like switching at all, Other editors support programming languages that I use worse, Other editors lack some features that my editor have","vim","Yes, my employer bought it","No",,"Documentation for language or libraries inside the editor",
40,0,40,"javascript","ruby","elisp","git","Does programming as part of it's core activities ","emacs","sublime text","vim","zile","joe","textmate","nano","It supports many programming languages, It starts up and works very fast, It is very configurable","Syntax highlighting, Interactive console/REPL","It doesn't need to be configured much to be usable","It is extensively configured and I have lots of third-party plugins","It supports some of the languages I use better than my primary editor, It's faster to use for small editing, I use it for editing code on remote servers","Directly through terminal","Other editors support programming languages that I use worse, Other editors lack some features that my editor have","sublime text","Yes, I have personally bought it","Yes, I would buy it myself",,"Code formatting",
30,0,5,"Clojure","Python","Javascript","git","Does programming as part of it's core activities ","emacs","vim",,,"Visual Studio","Eclipse","NetBeans","It supports many programming languages, Powerful editing functionality, It is very configurable","Syntax highlighting, Code formatting, Interactive console/REPL","It has advanced language intergration (eg auto-completion, refactoring, building), Powerful editing functionality, It starts up and works very fast","It is extensively configured and I have lots of third-party plugins","It can be used from terminal, It's faster to use for small editing, I use it for editing code on remote servers","Directly through terminal","Other editors support programming languages that I use worse, Other editors lack some features that my editor have, Too much effort configuring new editors","Sublime Text","No, but I tried trial versions","Yes, I would buy it myself",,"Auto-completion, Code formatting, Refactoring",
15,3,1,"Matlab","Bash","Python","svn","I am a researcher","Spyder",,,,,,,"It has advanced language integration (eg auto-completion, refactoring, building), It starts up and works very fast, It can be used it in terminal","Syntax highlighting, Debugging, Test integration","It supports many programming languages","There is some configuration and couple of third-party plugins","It's faster to use for small editing","Directly through terminal","Other editors support programming languages that I use worse, Too much effort learning new editors","Notepad ++; Qt creator","No, but I tried trial versions","Yes, if my employer buys it for me",,"Code formatting, Debugging, Documentation for language or libraries inside the editor",
45,20,5,"python","sql","c","mercurial","Is primarily doing programming ","eclipse","sublime","gedit","nano","vi","emacs",,"It has advanced language integration (eg auto-completion, refactoring, building), It supports many programming languages, It intergrates with version control system","Auto-completion, Code formatting, Debugging","It starts up and works very fast, It can be used it in terminal","It's almost the same from the stock configuration","It supports some of the languages I use better than my primary editor","From the primary editor","Other editors lack some features that my editor have","sublime or emacs","Yes, my employer bought it","Yes, I would buy it myself",,"Auto-completion, Code generation, Test integration",
30,0,1,"JavaScript","HTML/CSS","PHP","Git","Is primarily doing programming ","Sublime Text",,,,"Notepad++","Delphi","Komodo Edit","It has advanced language integration (eg auto-completion, refactoring, building), It supports many programming languages, Powerful editing functionality","Syntax highlighting, Auto-completion, Code formatting","It intergrates with version control system","It's almost the same from the stock configuration",,"Directly through terminal","I don't feel like switching at all, Too much effort learning new editors, Too much effort configuring new editors","No idea","Yes, my employer bought it","Yes, I would buy it myself",,"Syntax highlighting, Auto-completion, Code formatting",
35,5,5,"Javascript"," Scala",," git","Does programming as part of it's core activities ","WebStorm","IDEA","vim",,"Eclipse","NetBeans",,"It has advanced language integration (eg auto-completion, refactoring, building), Powerful editing functionality, It is very configurable","Syntax highlighting, Auto-completion, Refactoring","It starts up and works very fast","It is extensively configured and I have lots of third-party plugins","It can be used from terminal, It's faster to use for small editing, I use it for editing code on remote servers","From some other application","I don't feel like switching at all, Other editors lack some features that my editor have, Too much effort configuring new editors","IDEA","Yes, my employer bought it","Yes, I would buy it myself",,"Refactoring, Code generation",
35,0,10,"Scala","Ruby","Java","Git","Is primarily doing programming ","Eclipse","IDEA","Kate",,"NetBeans","MonoDevelop",,"It has advanced language integration (eg auto-completion, refactoring, building), It intergrates to build tool(s) that I use","Syntax highlighting, Auto-completion, Documentation for language or libraries inside the editor","It is very configurable, Less bugs","There is some configuration and couple of third-party plugins","It supports some of the languages I use better than my primary editor, It's faster to use for small editing","Directly through terminal","Other editors support programming languages that I use worse, Other editors lack some features that my editor have","IDEA","Yes, I have personally bought it","Yes, I would buy it myself",,"Auto-completion, Refactoring, Documentation for language or libraries inside the editor",
40,0,2,"python","sql","shell","git","Does programming as part of it's core activities ","Emacs","Notepad++",,,"Eclipse",,,"It has advanced language integration (eg auto-completion, refactoring, building), Powerful editing functionality, It is very configurable","Syntax highlighting, Code formatting, Interactive console/REPL","Powerful editing functionality, It starts up and works very fast, It doesn't need to be configured much to be usable","There is some configuration and couple of third-party plugins","It's faster to use for small editing","Directly through terminal","Other editors lack some features that my editor have","Notepad++","No, never","Yes, I would buy it myself",,"Code formatting, Refactoring, Documentation for language or libraries inside the editor",
